name,local name,homepage,Alternative names,image url,country,city,key subjects,key subject scores,institutions
Universidade Federal de Sergipe,,http://www.ufs.br/,[],https://upload.wikimedia.org/wikipedia/commons/e/e6/Seal_of_the_Federal_University_of_Sergipe.png,Brazil,Aracaju,"['Philosophy', 'Biology', 'Art', 'Humanities', 'Medicine', 'Chemistry', 'Physics']","[44.0, 43.4, 40.3, 36.8, 36.4, 27.8, 27.8]",[]
Federal University of Campina Grande,,http://ufcg.edu.br/,[],https://upload.wikimedia.org/wikipedia/commons/5/5d/UfcgBrasao.jpg,Brazil,Campina Grande,"['Biology', 'Physics', 'Philosophy', 'Engineering', 'Art', 'Chemistry', 'Computer science', 'Mathematics', 'Humanities', 'Medicine', 'Geology', 'Quantum mechanics', 'Geography']","[45.4, 41.6, 36.3, 30.9, 30.8, 30.3, 29.3, 27.8, 26.9, 25.2, 23.4, 22.3, 20.6]",[]
Federal Rural University of Pernambuco,,http://www.ufrpe.br/br,[],https://upload.wikimedia.org/wikipedia/commons/8/83/Bras%%C3%%A3o_UFRPE.png,Brazil,Recife,"['Biology', 'Ecology', 'Chemistry', 'Medicine', 'Philosophy', 'Geology', 'Botany', 'Art', 'Physics', 'Geography', 'Humanities', 'Genetics']","[65.9, 36.8, 34.3, 31.4, 29.9, 28.9, 27.5, 26.5, 26.3, 23.6, 23.1, 21.4]",[]
Universidade do Estado de Santa Catarina,,http://www.udesc.br/english,[],https://upload.wikimedia.org/wikipedia/commons/9/91/Marca_da_Udesc.jpg,Brazil,Florianópolis,"['Philosophy', 'Art', 'Biology', 'Humanities', 'Physics', 'Medicine', 'Chemistry']","[46.8, 43.6, 40.9, 39.4, 28.9, 27.5, 23.7]",[]
Universidade Federal de Mato Grosso,,http://www.ufmt.br/ufmt/site/,[],https://upload.wikimedia.org/wikipedia/commons/9/9d/Escudo_ufmt.jpg,Brazil,Cuiabá,"['Biology', 'Philosophy', 'Art', 'Medicine', 'Humanities', 'Chemistry', 'Ecology', 'Physics', 'Geography']","[53.5, 39.8, 36.7, 35.1, 33.8, 26.8, 25.5, 24.9, 24.1]",[]
Pontifícia Universidade Católica de São Paulo,,http://www4.pucsp.br/paginainicial/,['Catholic University'],https://upload.wikimedia.org/wikipedia/en/1/1f/PUC-SP_Logo.png,Brazil,São Paulo,"['Philosophy', 'Art', 'Humanities', 'Political science', 'Psychology', 'Sociology']","[69.9, 63.3, 57.6, 30.9, 24.2, 24.0]",[]
Federal University of Mato Grosso do Sul,,http://www-nt.ufms.br/,[],https://upload.wikimedia.org/wikipedia/commons/8/84/Logo-UFMS.jpg,Brazil,Campo Grande,"['Biology', 'Philosophy', 'Art', 'Medicine', 'Humanities', 'Chemistry', 'Ecology', 'Physics', 'Geography']","[49.9, 41.0, 37.6, 35.3, 34.7, 26.1, 23.5, 22.8, 21.2]",[]
Federal University of Piauí,,http://www.ufpi.br/,[],https://upload.wikimedia.org/wikipedia/commons/0/08/UFPI_arms.JPG,Brazil,Teresina,"['Biology', 'Medicine', 'Philosophy', 'Art', 'Humanities', 'Chemistry', 'Physics']","[47.8, 43.6, 41.0, 37.4, 34.4, 29.6, 24.1]",[]
Federal University of Alagoas,,http://www.ufal.edu.br/,[],https://upload.wikimedia.org/wikipedia/commons/7/71/Bras%%C3%%A3o_Ufal.png,Brazil,Maceió,"['Philosophy', 'Biology', 'Art', 'Humanities', 'Medicine', 'Physics', 'Chemistry', 'Mathematics', 'Computer science']","[43.6, 42.4, 39.2, 35.4, 30.4, 30.2, 25.5, 21.2, 20.9]",[]
Universidade de Ribeirão Preto,,http://www.unaerp.br/,[],https://upload.wikimedia.org/wikipedia/commons/9/93/Logo_da_Unaerp.jpg,Brazil,Ribeirão Preto,"['Medicine', 'Biology', 'Psychology', 'Philosophy', 'Internal medicine', 'Chemistry', 'Art', 'Humanities', 'Genetics', 'Physics', 'Biochemistry', 'Pathology', 'Political science']","[65.5, 50.8, 36.3, 35.2, 29.0, 28.8, 28.7, 25.3, 22.8, 22.0, 22.0, 21.9, 20.5]",[]
